Artist,Title,Year,Sales,Streams,Rating
"Bill Haley & his Comets","Rock Around the Clock",1955,36503,19961,0.760
"Celine Dion","My Heart Will Go On",1998,35405,12636,3.610
"Sinead O'Connor","Nothing Compares 2 U",1990,35135,14582,2.733
"The Beatles","Hey Jude",1968,34442,25545,1.510
"Bryan Adams","(Everything I Do) I Do it For You",1991,34367,16523,3.121
"Whitney Houston","I Will Always Love You",1992,34112,14873,4.460
"Pink Floyd","Another Brick in the Wall (part 2)",1980,3202,13081,1.553
"Irene Cara","Flashdance... What a Feeling",1983,31305,1518,2.686
"Elton John","Candle in the Wind '97",1997,31054,7412,3.189
"The Rolling Stones","(I Can't Get No) Satisfaction",1965,31054,22926,0.556
"Coolio","Gangsta's Paradise",1995,30822,11036,1.073
"Eminem","Lose Yourself",2002,30554,12994,2.083
"Cher","Believe",1998,30065,9418,1.872
"Usher","Yeah!",2004,29535,14647,1.000
"The Beatles","Let it Be",1970,29443,16881,2.231
"Procol Harum","A Whiter Shade of Pale",1967,29428,12018,0.558
"Bee Gees","Stayin' Alive",1978,29347,1616,0.571
"Leona Lewis","Bleeding Love",2008,29316,9512,1.076
"The Police","Every Breath You Take",1983,28976,17905,1.177
"Kim Carnes","Bette Davis Eyes",1981,28919,16184,1.500
"Rihanna & Jay-Z","Umbrella",2007,28653,11117,1.611
"George Harrison","My Sweet Lord",1971,27598,11705,1.085
"Abba","Dancing Queen",1976,27582,1363,0.537
"P Diddy & Faith Evans","I'll Be Missing You",1997,27543,684,2.771
"Britney Spears","Baby One More Time",1999,27487,6937,1.853
"The Beatles","I Want to Hold Your Hand",1964,2747,23042,1.010
"Michael Jackson","Billie Jean",1983,27395,12399,1.010
"Bobby Darin","Mack the Knife",1959,2733,1936,0.550
"John Travolta & Olivia Newton-John","You're the One That I Want",1978,2679,8046,0.555
"USA For Africa","We Are the World",1985,26681,10855,1.510
"Hanson","Mmmbop",1997,26574,6804,3.548
"Madonna","Vogue",1990,26504,9586,2.701
"Spice Girls","Wannabe",1996,26329,6756,1.740
"Roy Orbison","Oh, Pretty Woman",1964,26309,16859,0.010
"Eminem","Without Me",2002,26225,8266,2.233
"The Village People","YMCA",1978,25951,8885,0.653
"Stevie Wonder","I Just Called to Say I Love You",1984,25939,876,0.833
"George Michael","Careless Whisper",1984,2589,12439,0.750
"John Lennon","Imagine",1971,25732,14567,1.119
"Survivor","Eye of the Tiger",1982,25708,12265,0.554
"Los Del Rio","Macarena",1996,25687,9313,3.093
"Elvis Presley","Are You Lonesome Tonight?",1960,25657,12057,0.010
"UB40","Can't Help Falling in Love",1993,25587,8814,3.032
"OutKast","Hey Ya!",2003,25543,13645,1.972
"Queen","Bohemian Rhapsody",1976,25468,11819,0.538
"Barbra Streisand","A Woman in Love",1980,25365,8126,0.511
"Katy Perry","I Kissed A Girl",2008,25365,6004,0.591
"Elvis Presley","It's Now Or Never",1960,25254,9789,0.667
"No Doubt","Don't Speak",1997,25142,6687,1.673
"Shakira & Wyclef Jean","Hips don't lie",2006,2509,8296,1.282
"50 Cent","In Da Club",2003,25013,10576,0.518
"Kylie Minogue","Can't Get You Out of My Head",2001,24965,5893,1.928
"The Black Eyed Peas","Where is the Love?",2003,24945,6886,1.550
"The Rolling Stones","Angie",1973,24602,8793,1.033
"Mungo Jerry","In the Summertime",1970,24345,8963,0.547
"Vaughn Monroe","(Ghost) Riders in the Sky",1949,24324,12371,0.583
"Lady GaGa","Poker Face",2009,2427,8619,0.571
"Ace of Base","The Sign",1994,24202,9274,3.833
"Carl Douglas","Kung Fu Fighting",1974,24144,7882,0.587
"Justin Timberlake","Sexyback",2006,24062,908,2.571
"Madonna","Hung Up",2005,23935,6452,2.650
"Elvis Presley","Jailhouse Rock",1957,23827,13312,0.010
"The Beatles","Help!",1965,2382,12665,0.521
"Joan Jett & The Blackhearts","I Love Rock 'n' Roll",1982,23739,13422,0.529
"Ricky Martin","Livin' La Vida Loca",1999,23729,9086,3.515
"The Monkees","I'm a Believer",1967,23629,15525,0.539
"Shakira","Whenever, Wherever",2002,2362,3543,1.715
"Frank Sinatra","Strangers in the Night",1966,23348,15484,0.591
"Bruce Springsteen","Streets of Philadelphia",1994,23234,9077,1.553
"The Righteous Brothers","Unchained Melody",1965,23199,15616,1.101
"All-4-One","I Swear",1994,23163,8348,1.807
"Glenn Miller","In the Mood",1940,23153,13666,0.583
"Lou Bega","Mambo No 5 (A Little Bit of ...)",1999,23068,3543,1.657
"Doris Day","Que sera sera (Whatever will be will be)",1956,23058,10691,0.563
"Flo-Rida & T-Pain","Low",2008,23053,12411,0.833
"Nat King Cole","Mona Lisa",1950,23002,16223,0.567
"Terry Jacks","Seasons in the Sun",1974,23,813,0.010
"Culture Club","Karma Chameleon",1983,22967,7164,0.529
"Aerosmith","I Don't Want to Miss a Thing",1998,2296,7609,1.748
"Blondie","Heart of Glass",1979,22929,11965,0.520
"Boyz II Men","End of the Road",1992,22898,12287,2.567
"The Fugees","Killing Me Softly With His Song",1996,22861,362,1.686
"Tony Orlando & Dawn","Tie a Yellow Ribbon 'round the Old Oak Tree",1973,22858,12339,0.593
"Fergie","Big Girls Don't Cry",2007,22615,8695,2.020
"Shocking Blue","Venus",1970,22535,9366,1.118
"Eagles","Hotel California",1977,22532,17333,1.085
"Bing Crosby","Swinging On a Star",1944,22468,15761,0.516
"The Beatles","All You Need is Love",1967,22448,9415,0.531
"Chubby Checker","The Twist",1960,2242,19039,0.567
"Nelly & Kelly Rowland","Dilemma",2002,22401,7323,1.410
"The Beatles","She Loves You",1964,22398,15736,0.677
"Beyonce","Crazy in Love",2003,22139,1003,2.651
"The Black Eyed Peas","I Gotta Feeling",2009,22126,8074,0.567
"John Lennon","(Just Like) Starting Over",1980,22094,11893,1.187
"Culture Club","Do You Really Want to Hurt Me?",1982,22065,567,0.550
"Brandy & Monica","The Boy is Mine",1998,22026,9228,2.597
"Madonna","Like a Prayer",1989,21992,9617,2.026
"Sean Kingston","Beautiful Girls",2007,21963,5274,2.850
"Prince","When Doves Cry",1984,21902,1609,0.523
"The Beatles","Yesterday",1965,21879,16534,1.010
"The Pussycat Dolls","Don't Cha",2005,21864,4957,2.059
"Bee Gees","Night Fever",1978,21854,11444,1.500
"Diana Ross","Upside Down",1980,21735,11152,0.527
"Madonna","Music",2000,21688,7246,2.662
"Nickelback","How You Remind Me",2002,21637,1063,1.589
"Archies","Sugar Sugar",1969,21613,17318,0.635
"Christina Aguilera, Lil' Kim, Mya & Pink","Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)",2001,21557,6863,1.389
"A-Ha","Take On Me",1985,21527,9177,0.566
"Las Ketchup","The Ketchup Song (Asereje)",2002,2148,1245,1.350
"The Beatles","Get Back",1969,21431,12543,0.677
"Rob Thomas & Santana","Smooth",1999,21397,13708,2.059
"Snow","Informer",1993,21344,5239,2.813
"Timbaland & OneRepublic","Apologize",2007,21261,6729,0.524
"t.A.T.u.","All the Things She Said",2003,21261,3381,2.857
"Take That","Back For Good",1995,2114,2414,2.090
"The Beatles","Hello, Goodbye",1967,21084,7574,1.049
"Chicago","If You Leave Me Now",1976,21072,782,0.833
"Aqua","Barbie Girl",1997,21012,3172,1.059
"Gnarls Barkley","Crazy",2006,20983,8248,1.079
"Blondie","Call Me",1980,20956,16632,0.524
"Whitney Houston","I Wanna Dance With Somebody (Who Loves Me)",1987,20902,7308,0.526
"Elton John & Kiki Dee","Don't Go Breaking My Heart",1976,20883,7387,0.667
"Ace of Base","All That She Wants",1993,20874,5464,2.743
"Boney M","Rivers of Babylon",1978,20873,734,0.526
"Michael Jackson","Black Or White",1991,20863,6303,2.634
"Simon & Garfunkel","Bridge Over Troubled Water",1970,20863,20374,0.677
"Chic","Le Freak",1979,20857,13249,0.760
"TLC","No Scrubs",1999,20818,7598,2.067
"Nancy Sinatra","These Boots Are Made For Walking",1966,20799,10266,0.510
"Ray Charles","I Can't Stop Loving You",1962,20777,14412,0.750
"Meat Loaf","I'd Do Anything For Love (But I Won't Do That)",1993,20751,5083,0.537
"Chubby Checker","Let's Twist Again",1961,20744,6127,0.833
"Percy Faith","Theme From 'A Summer Place'",1960,20739,15608,1.500
"James Blunt","You're Beautiful",2005,20719,7555,2.373
"Don McLean","American Pie",1972,20702,17712,0.510
"Ben E King","Stand By Me",1961,20684,14543,0.010
"Bryan Adams, Rod Stewart & Sting","All For Love",1994,20622,5214,1.757
"Pink","So What",2008,20607,5255,0.518
"Phil Collins","Another Day in Paradise",1989,20584,8667,3.033
"Paul McCartney & Stevie Wonder","Ebony & Ivory",1982,20497,7866,0.583
"Lady GaGa & Colby O'Donis","Just Dance",2008,20459,7556,0.625
"Eiffel 65","Blue (Da Ba Dee)",1999,20448,2457,0.556
"Petula Clark","Downtown",1965,20447,13274,0.537
"Michael Jackson","Beat It",1983,20326,9948,0.625
"The Human League","Don't You Want Me",1982,20294,7954,1.032
"Rick Astley","Never Gonna Give You Up",1987,20285,5941,0.532
"Londonbeat","I've Been Thinking About You",1990,20269,5181,1.715
"Bing Crosby & The Andrews Sisters","Don't Fence Me In",1944,20052,10829,0.518
"Berlin","Take My Breath Away",1986,20034,10779,1.000
"Beyonce","Irreplaceable",2006,20027,11514,1.168
"Nirvana","Smells Like Teen Spirit",1992,19917,11165,1.978
"U2","Beautiful Day",2000,19889,7554,1.512
"Dinah Shore","Buttons & Bows",1948,19851,9604,0.537
"Avril Lavigne","Girlfriend",2007,19834,5823,3.548
"George McCrae","Rock Your Baby",1974,19799,7486,0.566
"Gloria Gaynor","I Will Survive",1979,19727,15035,0.667
"Mariah Carey","Without You",1994,19661,4402,1.733
"Abba","Waterloo",1974,19544,6399,0.010
"Les Paul & Mary Ford","Vaya Con Dios (may God Be With You)",1953,19525,12568,0.700
"Vanilla Ice","Ice Ice Baby",1990,19487,5516,1.114
"Anton Karas","Third Man Theme",1950,1948,9078,0.543
"Abba","Fernando",1976,1947,3434,0.010
"R Kelly","I Believe I Can Fly",1997,19448,7863,1.037
"Avril Lavigne","Complicated",2002,19432,5469,2.174
"The Beatles","Penny Lane",1967,19365,12457,0.563
"Doris Day","Secret Love",1954,19318,12203,0.559
"Olivia Newton-John","(Let's Get) Physical",1981,19308,12769,1.000
"Boyz II Men","I'll Make Love to You",1994,19291,9544,3.077
"Madonna & Justin Timberlake","Four Minutes",2008,19271,4056,0.532
"Bryan Adams","Have You Ever Really Loved a Woman?",1995,1925,6098,1.375
"MC Hammer","U Can't Touch This",1990,19235,6939,2.047
"Starsound","Stars On 45",1981,19173,5947,0.511
"Nat King Cole","Too Young",1951,19108,12777,0.643
"The Backstreet Boys","I Want it That Way",1999,19096,5536,2.156
"Celine Dion","Because You Loved Me",1996,19083,9554,2.644
"Falco","Rock Me Amadeus",1986,19049,5462,0.550
"Bee Gees","(The Lights Went Out In) Massachusetts",1967,19002,2507,2.573
"Dionne Warwick & Friends","That's What Friends Are For",1986,19002,13248,0.600
"The Animals","House of the Rising Sun",1964,18968,14982,0.591
"Britney Spears","Toxic",2004,18941,7078,1.172
"Cyndi Lauper","Girls Just Wanna Have Fun",1984,18927,9557,0.567
"Pink","Get the Party Started",2002,18895,5607,1.652
"Tennessee Ernie Ford","Sixteen Tons",1955,18843,11509,0.643
"Mary Hopkin","Those Were the Days",1968,1884,7728,1.091
"The Beatles","I Feel Fine",1964,18837,9813,0.563
"The Beatles","Paperback Writer",1966,18833,10522,0.510
"Lynn Anderson","I Beg Your Pardon (I Never Promised You a Rose Garden)",1971,18807,7872,0.567
"Tina Turner","What's Love Got to Do With It?",1984,18807,11845,0.519
"Band Aid","Do They Know It's Christmas?",1984,18791,3756,0.526
"The Rolling Stones","Honky Tonk Woman",1969,18788,15873,0.529
"Mariah Carey & Boyz II Men","One Sweet Day",1995,18785,9143,1.890
"Roberta Flack","Killing Me Softly With His Song",1973,18705,14307,0.667
"Katy Perry","Hot 'n' cold",2008,18641,529,0.556
"TLC","Waterfalls",1995,18631,1017,1.231
"Roxette","It Must Have Been Love",1990,18611,5633,2.099
"Bee Gees","Tragedy",1979,18607,683,0.625
"The Beatles","A Hard Day's Night",1964,18581,102,0.667
"Los Lobos","La Bamba",1987,18546,7179,0.537
"The Chordettes","Mister Sandman",1954,18533,13994,0.537
"Rod Stewart","Maggie May",1971,18501,16306,0.611
"Phil Collins","A Groovy Kind of Love",1988,18476,5102,1.156
"Zager & Evans","In the Year 2525 (Exordium & Terminus)",1969,18463,9338,0.515
"Mariah Carey","Fantasy",1995,18463,6451,2.653
"George Michael","Faith",1987,18455,9446,0.526
"Foreigner","I Want to Know What Love Is",1985,1845,6971,0.583
"Elvis Presley","Heartbreak Hotel",1956,18448,15536,0.527
"Beyonce & Shakira","Beautiful Liar",2007,18439,3876,1.417
"Elvis Presley","Suspicious Minds",1969,18423,14456,0.522
"Elton John","Crocodile Rock",1973,1841,8601,0.563
"Madonna","Papa Don't Preach",1986,18398,6318,0.514
"Toni Braxton","Un-Break My Heart",1996,18373,678,2.628
"The Black Eyed Peas","Shut Up",2003,18372,1283,0.700
"Eric Clapton","Tears in Heaven",1992,18351,10959,2.096
"Carly Simon","You're So Vain",1973,18304,12907,0.521
"Will Smith","Men in Black",1997,18295,2299,1.850
"Evanescence","Bring Me to Life",2003,18276,5543,1.687
"Diana Ross & Lionel Richie","Endless Love",1981,18254,15366,0.700
"Steve Miller Band","Abracadabra",1982,18223,7691,0.518
"Wet Wet Wet","Love is All Around",1994,18203,1049,1.772
"Akon","Lonely",2005,18195,3596,1.670
"Michael Jackson","You Are Not Alone",1995,18187,4582,1.127
"Christina Aguilera","Genie in a Bottle",1999,18172,5576,1.568
"Everything But The Girl","Missing",1996,18167,5481,1.581
"Savage Garden","Truly Madly Deeply",1998,18137,6905,1.709
"The Mills Brothers","Paper Doll",1943,18093,1253,0.527
"Bobby McFerrin","Don't Worry Be Happy",1988,18052,7135,1.086
"Bee Gees","How Deep is Your Love?",1978,1803,10445,1.211
"Alicia Keys","Fallin'",2001,18018,8103,1.074
"Eamon","F**k it (I Don't Want You Back)",2004,18002,2895,0.520
"Shaggy","Boombastic",1995,17973,4005,1.046
"Patti Page","Tennessee Waltz",1950,1791,13969,0.530
"Frankie Goes To Hollywood","Relax",1984,17858,5664,0.525
"Lady GaGa","Bad Romance",2009,17847,8446,0.512
"Elvis Presley","Hound Dog",1956,1784,14892,0.569
"Madonna","Frozen",1998,17789,4579,2.544
"Christina Aguilera","Beautiful",2003,17777,5364,1.030
"Chumbawamba","Tubthumping",1997,17766,4324,1.583
"Fats Domino","Blueberry Hill",1956,17709,11573,0.514
"Elvis Presley & JXL","A Little Less Conversation",2002,17674,1821,1.355
"Domenico Modugno","Volare",1958,1767,9719,0.700
"Alicia Keys","No One",2007,17632,8353,2.067
"Donna Summer","Hot Stuff",1979,17619,13075,0.512
"The Pet Shop Boys","West End Girls",1986,17615,7704,1.034
"The Bangles","Walk Like an Egyptian",1986,1758,9634,0.520
"Mariah Carey","We Belong Together",2005,17556,12129,1.101
"Daniel Powter","Bad Day",2005,17539,8848,3.000
"Four Non Blondes","What's Up?",1993,17509,4108,1.811
"Janet Jackson","That's the Way Love Goes",1993,17495,7304,2.860
"Queen","Another One Bites the Dust",1980,17481,13778,0.536
"J Geils Band","Centrefold",1982,17428,11247,0.529
"Nelly Furtado & Timbaland","Promiscuous",2006,17424,8393,1.056
"Patrick Hernandez","Born to Be Alive",1979,1742,4194,0.541
"Culture Beat","Mr Vain",1993,17419,2897,1.577
"U2","With Or Without You",1987,17402,10326,0.700
"Rihanna","Don't Stop the Music",2007,17375,4751,0.523
"Seal","Kiss From a Rose",1995,17371,9827,1.233
"Bon Jovi","Always",1994,17371,5316,1.993
"Bryan Adams","Please Forgive Me",1993,17369,339,1.829
"Pat Boone","Speedy Gonzales",1962,17367,2933,0.521
"Tears For Fears","Shout",1985,17367,6413,0.516
"Bonnie Tyler","Total Eclipse of the Heart",1983,17336,6371,0.521
"Wham!","Wake Me Up Before You Go Go",1984,17323,6288,0.521
"The Crew-Cuts","Sh-Boom (Life Could Be a Dream)",1954,1731,10118,0.577
"Green Day","Boulevard of Broken Dreams",2005,17287,11558,1.836
"Bill Medley & Jennifer Warnes","(I've Had) the Time of My Life",1987,17236,8922,0.833
"Bon Jovi","Blaze of Glory",1990,17195,7778,1.732
"Eminem","Stan",2000,17191,3681,0.556
"The Platters","Smoke Gets in Your Eyes",1959,17102,5039,0.833
"Lionel Richie","Say You, Say Me",1985,17069,9793,0.567
"Mr Big","To Be With You",1992,17051,5049,1.777
"Simon & Garfunkel","The Sounds of Silence",1966,17033,15006,2.778
"Harry Nilsson","Without You",1972,17013,1074,0.611
"Sheryl Crow","All I Wanna Do",1994,16868,9534,1.798
"Rednex","Cotton Eye Joe",1994,16865,3825,1.623
"The Rolling Stones","Jumpin' Jack Flash",1968,16862,11371,0.513
"UB40","Red Red Wine",1983,16839,6226,1.214
"LeAnn Rimes","Can't Fight the Moonlight",2001,16765,3624,0.540
"Shaggy & Ricardo 'RikRok' Ducent","It Wasn't Me",2001,16758,3911,1.214
"Teresa Brewer","(Put Another Nickel In) Music! Music! Music!",1950,16717,9167,0.516
"Rocco Granata","Marina",1960,16659,732,0.521
"Jennifer Lopez","If You Had My Love",1999,16642,4814,1.706
"David Guetta & Akon","Sexy Chick (sexy Bitch)",2009,16638,4751,0.511
"Britney Spears","Oops!... I Did it Again",2000,16598,3751,1.356
"N Sync","Bye, Bye, Bye",2000,16476,5865,1.595
"Lionel Richie","All Night Long (All Night)",1983,16446,7349,0.553
"Dido","White Flag",2003,16446,3606,0.625
"Les Brown & Doris Day","Sentimental Journey",1945,1644,13594,0.523
"The Byrds","Mr Tambourine Man",1965,1642,13395,0.525
"Gerry Rafferty","Baker Street",1978,16406,7148,0.526
"Elvis Presley","All Shook Up",1957,16347,9971,0.010
"Natalie Imbruglia","Torn",1998,16312,3885,1.984
"REM","Losing My Religion",1991,16295,11668,1.597
"Haddaway","What is Love?",1993,16286,4828,1.055
"Scott McKenzie","San Francisco (Wear Some Flowers in Your Hair)",1967,1628,4381,0.587
"The Andrews Sisters","Rum & Coca-Cola",1945,16279,1031,0.553
"U2","I Still Haven't Found What I'm Looking For",1987,16269,11519,0.600
"Roxette","Joyride",1991,16258,4152,2.591
"Robert Miles","Children",1996,16253,2293,1.187
"The Goo Goo Dolls","Iris",1998,16252,7562,1.129
"Shaggy","Angel",2001,1622,3852,0.556
"Nelly Furtado","Say It Right",2007,16215,6835,0.538
"Otis Redding","(Sittin' On) the Dock of the Bay",1968,16211,18351,0.520
"Sam The Sham & The Pharaohs","Wooly Bully",1965,16177,15326,0.522
"Elvis Presley","Don't Be Cruel",1956,1615,14351,0.553
"Kris Kross","Jump",1992,16142,6275,1.799
"Abba","SOS",1975,16122,3441,1.033
"OutKast","Ms Jackson",2001,1611,6091,0.550
"Bonnie Tyler","It's a Heartache",1978,16089,53,0.513
"The Everly Brothers","Cathy's Clown",1960,1605,9107,0.520
"Bee Gees","Too Much Heaven",1979,15998,6209,0.833
"Dick Haymes","You'll Never Know",1943,15981,11269,0.556
"The Beatles","Come Together",1969,15971,11772,0.517
"The Knack","My Sharona",1979,15964,12078,0.524
"Lobo","I'd Love You to Want Me",1973,15925,5006,0.010
"The Black Eyed Peas","Boom Boom Pow",2009,15922,7973,0.643
"The Monkees","Daydream Believer",1967,15921,9367,1.559
"Kanye West & Jamie Foxx","Gold Digger",2005,15916,978,1.110
"John Lennon","Woman",1981,1586,6638,1.095
"Jefferson Starship","Nothing's Gonna Stop Us Now",1987,15849,7388,0.528
"Phil Collins","Against All Odds (Take a Look At Me Now)",1984,15812,7682,0.531
"Scatman John","Scatman (Ski-Ba-Bop-Ba-Dop-Bop)",1995,158,105,3.011
"The Black Eyed Peas","Don't Phunk With My Heart",2005,15793,4359,2.548
"Elvis Presley","Surrender",1961,15784,4716,0.653
"Gene Autry","Rudolph, the Red-Nosed Reindeer",1949,15779,12604,0.010
"Oasis","Wonderwall",1996,15769,6266,0.563
"Queen","Crazy Little Thing Called Love",1980,15762,9369,0.833
"Paul McCartney & Michael Jackson","Say Say Say",1983,15751,6582,0.522
"U2","Desire",1988,15738,46,1.500
"Kanye West","Stronger",2007,15704,8365,1.670
"The Righteous Brothers","You've Lost That Lovin' Feelin'",1964,15698,19739,0.010
"Michael Jackson & Janet Jackson","Scream",1995,15697,4253,2.541
"Prince","The Most Beautiful Girl in the World",1994,15666,4651,1.840
"Boney M","Ma Baker",1977,15655,1223,0.526
"Offspring","Pretty Fly (For a White Guy)",1999,15634,1759,2.845
"Madonna","Like a Virgin",1984,1563,9012,0.643
"The Mamas & The Papas","Monday Monday",1966,15624,13322,0.529
"Gwen Stefani","Hollaback Girl",2005,15607,9286,1.047
"Destiny's Child","Lose My Breath",2004,15602,537,2.553
"Madonna","Take a Bow",1995,15593,6776,2.798
"Del Shannon","Runaway",1961,15584,10527,0.543
"Janet Jackson","Together Again",1998,15573,4083,2.045
"Paul Anka","Diana",1957,15561,399,0.573
"Guns n' Roses","Sweet Child O' Mine",1988,15548,11414,1.181
"Flo-Rida & Ke$ha","Right Round",2009,15542,5693,0.521
"10CC","I'm Not in Love",1975,15524,6394,1.392
"Anita Ward","Ring My Bell",1979,15509,6824,0.591
"Rod Stewart","Do Ya Think I'm Sexy?",1979,15483,8683,0.528
"Jason Mraz","I am Yours",2008,15463,6454,0.542
"Mario","Let Me Love You",2005,15454,6488,0.553
"Enigma","Sadeness",1991,15434,3203,1.838
"Snap","Rhythm is a Dancer",1992,15425,4969,0.625
"Alanis Morissette","Ironic",1996,15413,7026,1.580
"Lionel Richie","Hello",1984,15404,4976,0.534
"Bon Jovi","Livin' On a Prayer",1987,15359,7376,1.500
"Enrique Iglesias","Hero",2001,15357,3132,1.041
"Timbaland & Keri Hilson","The Way I Are",2007,15331,4,0.511
"Frank Sinatra","Five Minutes More",1946,15313,7014,0.531
"Vanessa Carlton","A Thousand Miles",2002,15298,5843,2.214
"Al Jolson","Swanee",1920,15297,11348,0.700
"Van Halen","Jump",1984,15285,8589,1.037
"Peter Gabriel","Sledgehammer",1986,15285,9577,0.519
"Fifth Dimension","Aquarius/Let The Sunshine In",1969,15255,17696,0.750
"Roxette","The Look",1989,15202,5297,1.529
